covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
DIAMETRE_imp,-0.00035492760728164863,0.9996451353720703,6.665002517998461e-05,-0.0004855592562031062,-0.00022429595836019107,0.999514558608615,0.9997757291940977,0.0,-5.325243408733707,1.008179415254106e-07,23.24174426102418
LNG_log,-0.2470967711191516,0.781065105329685,0.004817109928574194,-0.2565381330887273,-0.23765540914957586,0.7737254894541756,0.7884743453314953,0.0,-51.29564713759589,0.0,inf
DDP_year,0.047465006998662955,1.0486095064853986,0.0005296025961941149,0.04642700498400358,0.04850300901332233,1.0475216124208704,1.0496985303724353,0.0,89.62381857596792,0.0,inf
nb_anomalies,-0.31316817850775047,0.7311269423905539,0.016441084442477414,-0.345392111881788,-0.28094424513371297,0.7079427062902172,0.7550704331576599,0.0,-19.047902807350397,6.83875750689724e-81,266.3024414516227
nb_fuites_signalees,-0.3171803659957625,0.7281994008700857,0.017248821962145926,-0.350987435817312,-0.283373296174213,0.703992598891679,0.7532385543006872,0.0,-18.388523383906623,1.623414974172255e-75,248.44557529062993
nb_fuites_detectees,-0.9022721349326452,0.40564692729743224,0.07372232460131029,-1.0467652360077846,-0.7577790338575059,0.35107154793866396,0.4687062525915568,0.0,-12.238791164170763,1.9288395204837325e-34,111.99782211006863
taux_anomalie_par_an,-4.764167477838051,0.00852998669014383,0.5432056231019046,-5.8288309353174235,-3.6995040203586798,0.002941513790791322,0.024735791877575023,0.0,-8.770467895072398,1.7792536191112696e-18,58.963433537471396
DT_NB_LOGEMENT_imp,-0.0005387785315314106,0.9994613665835588,3.429440683194241e-05,-0.0006059943337931821,-0.00047156272926963917,0.9993941892436888,0.9995285484389592,0.0,-15.710390740147833,1.283853985254007e-55,182.34556408700556
DT_FLUX_CIRCULATION_imp,-0.15016700913388967,0.8605642423341703,0.008416541965782157,-0.16666312826119264,-0.1336708900065867,0.8464847200914822,0.8748779483038379,0.0,-17.841889192069694,3.342032627286016e-71,234.1161689189256
mat_FTG,-0.3098062882581001,0.7335890472736787,0.016838151864080733,-0.3428084594779143,-0.2768041170382859,0.7097741490520963,0.7582030016148192,0.0,-18.39906723486567,1.3364550371608144e-75,248.7261958152647
mat_FTVI,-0.5502782600031875,0.5767892906585561,0.056272747135194735,-0.6605708176992986,-0.4399857023070763,0.5165563907896165,0.6440456293839502,0.0,-9.778770151049303,1.3888788082015673e-22,72.60849737044504
mat_PEHD,-0.0978651055786264,0.9067712138824734,0.042942022197447825,-0.18202992250894368,-0.01370028864830912,0.8335763973453527,0.9863931331842168,0.0,-2.279005518851481,0.022666737237357248,5.46327945243466
mat_POLY,-0.12622589549695712,0.8814157164516465,0.030512211550553232,-0.18602873122470848,-0.06642305976920575,0.8302497405473909,0.9357349087465617,0.0,-4.13689762499921,3.520330738790698e-05,14.79392949648394
mat_PVC,-0.019802033304107364,0.980392739208087,0.04643922786199374,-0.1108212473834641,0.07121718077524938,0.8950987358706577,1.0738144123921831,0.0,-0.4264074623065281,0.6698109647496493,0.5781741018518906
mat_BTM,-0.4329386469929864,0.6486002841620564,0.06604842566255209,-0.5623911825271596,-0.3034861114588132,0.5698448304315687,0.7382401421392188,0.0,-6.554867018404233,5.569148252887577e-11,34.06375234551305
mat_ACIE,-0.1251315259374827,0.8823808389850115,0.05974793794039413,-0.24223533245118944,-0.008027719423775947,0.7848714500942799,0.9920044166651325,0.0,-2.0943237582913183,0.036231149316463276,4.786625618406307
mat_AUTRE,0.2301608687502953,1.2588024956265706,0.08736326246822636,0.05893202074065179,0.4013897167599388,1.0607031324759195,1.4938993526840143,0.0,2.6345269424204916,0.008425461680969864,6.89102854239174
